날짜,시가,고가,저가,종가,거래량
2021-09-24,3140.72998046875,3146.860107421875,3119.39990234375,3125.239990234375,752800
2021-09-27,3121.699951171875,3146.35009765625,3119.260009765625,3133.639892578125,882600
2021-09-28,3133.39990234375,3134.4599609375,3095.719970703125,3097.919921875,894100
2021-09-29,3055.5,3069.0400390625,3030.60009765625,3060.27001953125,820700
2021-09-30,3054.8701171875,3079.429931640625,3046.429931640625,3068.820068359375,885400
2021-10-01,3056.2099609375,3062.60009765625,3015.010009765625,3019.179931640625,854800
2021-10-05,2998.169921875,2998.169921875,2940.590087890625,2962.169921875,839400
2021-10-06,2986.06005859375,2993.469970703125,2908.300048828125,2908.31005859375,900500
2021-10-07,2936.8701171875,2961.530029296875,2927.60009765625,2959.4599609375,594600
2021-10-08,2977.820068359375,2978.080078125,2949.010009765625,2956.300048828125,668200
2021-10-12,2950.219970703125,2950.93994140625,2901.510009765625,2916.3798828125,659600
2021-10-13,2913.340087890625,2953.330078125,2909.469970703125,2944.409912109375,751600
2021-10-14,2968.8701171875,2988.969970703125,2962.330078125,2988.639892578125,616600
2021-10-15,3012.6201171875,3021.89990234375,2999.330078125,3015.06005859375,857300
2021-10-18,3017.47998046875,3021.169921875,2990.43994140625,3006.679931640625,926000
2021-10-19,3022.22998046875,3034.530029296875,3014.18994140625,3029.0400390625,845400
2021-10-20,3043.1298828125,3047.239990234375,3012.969970703125,3013.1298828125,679900
2021-10-21,3012.280029296875,3025.8798828125,3002.739990234375,3007.330078125,887000
2021-10-22,3005.360107421875,3018.699951171875,2996.260009765625,3006.159912109375,695000
2021-10-25,3001.10009765625,3025.27001953125,2983.2900390625,3020.5400390625,791500
2021-10-26,3039.820068359375,3051.64990234375,3030.530029296875,3049.080078125,564100
2021-10-27,3045.830078125,3049.02001953125,3019.0,3025.489990234375,607500
2021-10-28,3023.169921875,3034.419921875,3009.550048828125,3009.550048828125,616900
2021-10-29,3025.669921875,3030.169921875,2965.39990234375,2970.679931640625,545300
2021-11-01,2984.179931640625,2991.81005859375,2976.8701171875,2978.93994140625,475000
2021-11-02,2995.580078125,3034.300048828125,2995.580078125,3013.489990234375,525400
2021-11-03,3020.360107421875,3020.8701171875,2969.010009765625,2975.7099609375,658300
2021-11-04,3000.919921875,3011.56005859375,2978.070068359375,2983.219970703125,771700
2021-11-05,3003.530029296875,3003.530029296875,2953.9599609375,2969.27001953125,687400
2021-11-08,2965.360107421875,2968.179931640625,2930.89990234375,2960.199951171875,559600
2021-11-09,2958.14990234375,2987.280029296875,2949.169921875,2962.4599609375,707800
2021-11-10,2947.4599609375,2958.610107421875,2924.360107421875,2930.169921875,567300
2021-11-11,2911.409912109375,2925.18994140625,2903.719970703125,2924.919921875,571900
