종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"092200","디아이씨","358391807","360628722","2236915","2697183025950","2717413168364","20230142414"
"130660","한전산업","97689917","99271801","1581884","1264425024855","1284297358170","19872333315"
"271560","오리온","8251744","8528672","276928","908970176300","928311407350","19341231050"
"361610","SK아이이테크놀로지","16811751","17782063","970312","460393637060","479622478405","19228841345"
"018250","애경산업","16437496","17658299","1220803","257289234665","276106466970","18817232305"
"180640","한진칼","9203235","9277096","73861","1125751431205","1144477789250","18726358045"
"009410","태영건설","98838662","107462637","8623975","259733686259","278265890593","18532204334"
"018880","한온시스템","218066920","226851427","8784507","849248872580","866636007945","17387135365"
"009240","한샘","3543373","3945080","401707","162747163250","179890697425","17143534175"
"001740","SK네트웍스","38563213","42783907","4220694","172847891420","189854118240","17006226820"
"105630","한세실업","15024982","16892633","1867651","177880501910","194795923825","16915421915"
"005830","DB손해보험","5415824","5760709","344885","605567280200","622267624250","16700344050"
"009900","명신산업","20751583","22709421","1957838","190257686495","206951820460","16694133965"
"298020","효성티앤씨","1343770","1429126","85356","313656684750","329753106000","16096421250"
"017860","DS단석","53540728","54041509","500781","1571654711420","1587697454110","16042742690"
"271940","일진하이솔루스","6877548","8049508","1171960","112503207435","128530542030","16027334595"
"009270","신원","473476102","481162010","7685908","842391446251","858319788709","15928342458"
"003090","대웅","12567676","13349995","782319","303425975160","319216232845","15790257685"
"375500","DL이앤씨","26092499","26157276","64777","1189393224650","1204882241175","15489016525"
"003280","흥아해운","1484943877","1492841670","7897793","2979559476420","2994816007931","15256531511"
"248070","솔루엠","23538028","24544468","1006440","416042319335","431064912745","15022593410"
"014160","대영포장","1133746368","1139287639","5541271","1843730060712","1858723073555","14993012843"
"123890","한국자산신탁","26352131","32068003","5715872","65136648627","79291725733","14155077106"
"100840","SNT에너지","34506779","34795912","289133","1341959576175","1355855872275","13896296100"
"108670","LX하우시스","3341937","3803456","461519","101626120125","115493272975","13867152850"
"001820","삼화콘덴서","12732039","13256912","524873","396836452750","410638323075","13801870325"
"008970","KBI동양철관","5110538477","5118980759","8442282","7810559633241","7824356801077","13797167836"
"415640","KB발해인프라","6951003","8576123","1625120","60286860410","73734466885","13447606475"
"001500","현대차증권","33236152","35436504","2200352","250636547350","263878605335","13242057985"
"108320","LX세미콘","4738172","5061155","322983","273465569825","286335761650","12870191825"
"000520","삼일제약","33641288","34829596","1188308","381138308400","393758078995","12619770595"
"009070","KCTC","253218791","255252135","2033344","1561846884375","1574345742184","12498857809"
"013890","지누스","14576913","15340018","763105","277904587580","290375182990","12470595410"
"000050","경방","49351689","50532936","1181247","465777098875","478212201210","12435102335"
"016580","환인제약","3861802","4950814","1089012","44557218060","56852758615","12295540555"
"003350","한국화장품제조","11161687","11396410","234723","617288764775","629580182675","12291417900"
"001530","DI동일","10817564","11405197","587633","331438911535","343682008310","12243096775"
"001250","GS글로벌","167453032","171795461","4342429","459017354779","471243737070","12226382291"
"011500","한농화성","57017305","57724211","706906","983770131880","995967917910","12197786030"
"095570","AJ네트웍스","30451974","33415362","2963388","127694677808","139820426355","12125748547"
"950210","프레스티지바이오파마","26866021","27838897","972876","394146830105","406243534745","12096704640"
"0030R0","대신밸류리츠","13139701","15856736","2717035","60000980723","71972330197","11971349474"
"001680","대상","14795361","15539005","743644","332441318440","344400443345","11959124905"
"161000","애경케미칼","187566865","189023803","1456938","2085613713225","2097376656800","11762943575"
